Product Name,Sales,Profit,Quantity
"""While you Were Out"" Message Book, One Form per Page",25.228,10.388,8
"#10 Gummed Flap White Envelopes, 100/Box",41.3,16.7678,11
#10 Self-Seal White Envelopes,108.682,52.123,10
"#10 White Business Envelopes,4 1/8 x 9 1/2",488.904,223.1408,32
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",286.672,115.2806,37
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",146.688,64.86359999999999,21
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",176.288,63.747,13
#6 3/4 Gummed Flap White Envelopes,71.28,24.948,9
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2706.08,578.6848,14
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",49.980000000000004,22.7115,7
12 Colored Short Pencils,18.2,3.016,8
12-1/2 Diameter Round Wall Clock,551.448,91.1088,36
14-7/8 x 11 Blue Bar Computer Printout Paper,422.752,172.94400000000002,10
2300 Heavy-Duty Transfer File Systems by Perma,344.724,20.9832,16
"24 Capacity Maxi Data Binder Racks, Pearl",3537.24,536.9025,19
24-Hour Round Wall Clock,487.512,180.0198,27
3-ring staple pack,42.111999999999995,16.6944,26
3.6 Cubic Foot Counter Height Office Refrigerator,2946.2,-872.0751999999999,18
36X48 HARDFLOOR CHAIRMAT,369.24800000000005,-40.4914,21
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,3717.9714000000004,11
"3D Systems Cube Printer, 2nd Generation, White",2339.982,-467.9964,3
3M Hangers With Command Adhesive,108.03999999999999,36.001,33
3M Office Air Cleaner,259.8,90.93,10
3M Organizer Strips,83.16,10.151999999999997,26
3M Polarizing Light Filter Sleeves,216.34,75.34599999999999,14
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",2191.68,569.8368,16
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,303.36,-20.476799999999997,14
4009 Highlighters,8.04,2.7336,6
4009 Highlighters by Sanford,171.14,53.8096,44
50 Colored Long Pencils,138.176,32.9184,14
"6"" Cubicle Wall Clock, Black",124.586,26.211599999999997,19
9-3/4 Diameter Round Wall Clock,455.07,183.1312,34
"ACCOHIDE 3-Ring Binder, Blue, 1""",147.028,50.7164,44
ACCOHIDE Binder by Acco,65.25399999999999,19.287100000000002,21
APC 7 Outlet Network SurgeArrest Surge Protector,1207.2,80.47999999999998,20
ARKON Windshield Dashboard Air Vent Car Mount Holder,216.95999999999998,-15.594000000000001,14
AT&T 1070 Corded Phone,1070.304,133.788,12
AT&T 1080 Corded phone,1945.258,145.2094,18
AT&T 1080 Phone,1589.084,271.24019999999996,13
AT&T 17929 Lendline Telephone,1339.104,167.388,35
AT&T 841000 Phone,1614.6,165.6,28
AT&T CL2909,755.9399999999999,50.395999999999994,8
AT&T CL82213,481.234,131.3247,17
AT&T CL83451 4-Handset Telephone,1936.306,473.777,10
AT&T EL51110 DECT,377.97,109.6113,3
AT&T SB67148 SynJ,475.128,89.74640000000001,8
AT&T TR1909W,1738.662,340.173,15
Aastra 57i VoIP phone,3684.708,575.3316,26
Aastra 6757i CT Wireless VoIP phone,2929.984,482.5856,16
Acco 3-Hole Punch,137.53199999999998,55.538399999999996,36
Acco 6 Outlet Guardian Basic Surge Suppressor,38.272,-3.6608,7
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,289.456,-113.76719999999999,31
