ds,yhat,yhat_lower,yhat_upper
2014-01-31,14790.563637294108,5619.054100729446,24856.08804998026
2014-02-28,5778.538304577607,-3747.6836656941546,14829.535837793452
2014-03-31,41875.34314133427,32357.354411602293,52035.5993559978
2014-04-30,25662.72454458293,16042.17073782788,34506.15593995339
2014-05-31,25711.929455664216,16661.060147932058,34873.780827243856
2014-06-30,26711.737995762138,17485.566295554116,36389.84060751161
2014-07-31,26438.133371914366,16971.086771273927,35298.02279139764
2014-08-31,30856.590178417282,21226.13622947298,40108.10298394538
2014-09-30,67621.1171978275,57971.94504134844,76866.78588419255
2014-10-31,36077.38757669493,27228.246319906382,45112.13441671411
2014-11-30,78301.26894798252,69395.12727440275,87858.08343212327
2014-12-31,69991.58474496145,60942.852855869205,79375.78335666643
2015-01-31,18738.340393468334,9442.14997584194,28183.323308339055
2015-02-28,13880.713752841057,4497.275538646382,22926.38596267168
2015-03-31,49598.62528675475,40624.8772317747,58409.78863462411
2015-04-30,34576.01697887817,24254.726963159897,44131.278778504166
2015-05-31,26387.613872863174,17832.93051785262,35571.73437133779
2015-06-30,31085.92579993909,22293.957569460577,40630.34643266614
2015-07-31,33255.71965370275,24234.07017091198,42464.52211965458
2015-08-31,40664.29244798926,31367.64365031574,50280.78195839214
2015-09-30,76492.06726744716,67681.25217750907,86250.83121934452
2015-10-31,35984.178659485784,26583.496809697026,45464.2186981616
2015-11-30,86921.11813603557,77226.11436100253,96066.2153801502
2015-12-31,75920.60690769987,66308.6651765891,84775.70638088768
2016-01-31,23165.283046476485,13291.466108209544,31902.445337380646
2016-02-29,14902.053835203384,5430.9594002926115,23926.232626015328
2016-03-31,51723.803769110156,42863.439555820376,60936.459512187466
2016-04-30,33016.278395279776,23850.725432991305,41981.263833531746
2016-05-31,49868.218362051244,41030.69422032907,58971.259007649496
2016-06-30,44187.68757692151,34408.75160789689,53376.721408817626
2016-07-31,39287.642774519576,29538.888492216633,48081.339314805344
2016-08-31,37700.293657645954,28306.461979784643,47416.385182930055
2016-09-30,75996.70448634832,66732.45428878306,85580.54720729732
2016-10-31,62955.827643965175,53434.00271481935,71954.64811341031
2016-11-30,88181.71063881312,78262.470475025,97179.99329230092
2016-12-31,85608.11702130968,76633.00796314985,94042.38004426521
2017-01-31,38211.23541297841,28744.357067036628,47863.65884469644
2017-02-28,25246.65833872001,15980.342055156994,34932.32274250928
2017-03-31,61845.987907685005,51866.916361823416,70821.9331380936
2017-04-30,44535.97391645908,35102.07736187293,53443.47009161406
2017-05-31,53069.819571681495,43531.70134668366,62288.94607260107
2017-06-30,50739.853385257586,41813.44019794658,60206.878187924776
2017-07-31,48243.15004456791,38823.7415159427,57308.08596627569
2017-08-31,49797.130790118565,40762.694829623324,59138.586833026915
2017-09-30,87518.63585300745,77910.42225494715,96502.84409033082
2017-10-31,65271.07080849436,56336.90500323499,74157.9483154752
2017-11-30,99056.32109912366,90273.24384279361,109051.2218278125
2017-12-31,93756.95210653593,84603.23118344363,102959.50331490448
2018-01-31,44491.080369740266,34874.0457485765,54180.448848011336
2018-02-28,35661.18823184959,26692.483964641317,44857.87721071209
2018-03-31,71959.64053192898,62819.50038340217,80756.3657436522
2018-04-30,55942.164641653624,46898.93104290508,65372.0268715018
2018-05-31,56193.01701533073,46903.73175070245,65489.11544607855
2018-06-30,57387.9682588506,47522.00145797252,67042.42022733654
